,Q2b,Q2c,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Female,Age,Work_exp
146,2,2.0,5,5,5,4,5,5,4,4,4,5,5,3,5,2,4,3,4,1,5,5,5,5,0,35,3.0
148,1,2.0,4,5,4,4,4,4,4,5,4,4,5,4,4,5,5,4,5,4,4,5,4,4,0,45,7.0
150,2,1.0,2,5,5,4,5,2,4,2,2,3,4,2,5,1,2,3,2,5,5,5,3,5,1,33,2.0
152,1,4.0,5,5,5,5,5,5,4,3,1,5,5,3,5,2,3,3,3,3,5,5,5,5,1,31,2.0
154,1,1.0,3,4,2,4,3,1,4,5,1,3,5,1,4,1,5,1,1,1,4,1,5,4,0,41,6.0
156,1,5.0,4,5,4,5,4,4,5,2,2,4,5,2,5,3,3,2,2,3,4,4,5,4,0,30,2.0
158,1,2.0,4,5,5,5,5,4,5,3,4,5,5,2,5,1,2,2,1,5,5,4,5,5,0,42,6.0
160,1,5.0,3,4,4,4,3,4,4,2,2,3,4,3,4,2,4,3,4,1,4,4,3,5,0,32,3.0
162,2,3.0,4,3,4,4,4,3,4,1,3,3,5,3,4,4,4,1,4,1,4,4,4,4,1,35,4.0
164,1,6.0,3,5,3,2,1,4,2,2,4,4,3,1,3,1,4,3,2,5,2,4,4,4,0,31,1.0
166,1,6.0,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,1,30,1.0
170,1,6.0,3,4,4,4,1,2,4,4,5,3,4,3,3,3,3,3,3,3,3,3,3,3,1,30,1.0
172,2,2.0,3,4,4,4,2,3,4,2,3,3,3,2,3,2,4,2,2,2,2,4,4,4,1,40,6.0
174,1,3.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,1,36,7.0
176,1,2.0,3,4,4,4,4,4,5,4,1,3,5,1,5,1,1,2,1,1,4,4,5,5,1,31,1.0
178,1,2.0,5,4,5,5,5,5,5,4,4,4,4,4,5,4,5,4,5,4,5,4,4,5,0,33,2.0
180,2,2.0,2,4,4,4,4,3,4,4,4,2,4,3,4,1,4,1,1,1,4,4,4,4,1,30,2.0
182,1,6.0,4,5,4,3,3,5,5,4,1,4,5,1,5,1,2,2,1,1,4,4,5,5,1,30,1.0
184,1,6.0,4,5,5,3,3,4,5,4,3,4,5,2,5,1,2,2,3,1,5,5,5,3,1,31,1.0
186,1,3.0,4,4,4,5,4,4,5,2,2,4,4,2,5,1,5,1,1,3,4,5,4,5,1,35,4.0
188,1,6.0,4,4,4,4,3,3,3,4,3,4,5,3,4,2,3,2,1,1,4,5,4,2,0,34,4.0
190,1,2.0,2,4,3,4,4,5,5,3,5,3,5,1,4,3,2,5,1,2,2,4,4,5,1,36,4.0
192,2,3.0,5,5,4,4,4,4,5,4,4,5,5,1,5,4,5,3,3,4,4,4,5,5,1,31,1.0
194,1,5.0,2,5,4,4,4,3,3,4,3,4,4,3,5,4,4,3,3,2,2,4,5,4,1,30,1.0
198,1,2.0,4,5,5,5,4,5,2,2,4,5,5,1,5,1,4,4,1,3,5,5,5,4,1,36,4.0
200,1,6.0,3,4,2,3,3,2,3,4,3,3,5,1,4,1,3,2,5,2,3,4,3,4,1,30,1.0
204,1,3.0,4,4,4,5,4,5,4,1,4,4,4,3,5,2,2,2,2,4,4,4,4,5,0,29,1.0
206,1,6.0,5,5,4,3,4,4,4,5,2,5,4,3,5,1,3,3,1,3,5,4,5,4,1,31,1.0
208,2,4.0,4,4,4,4,4,4,3,4,1,4,4,3,4,4,4,4,4,4,4,4,4,4,0,35,3.0
210,1,6.0,4,4,5,5,5,4,4,4,2,4,5,4,5,1,4,2,4,4,4,2,4,4,0,32,2.0
212,2,6.0,3,3,3,5,3,2,4,3,3,4,3,2,3,3,4,4,4,4,2,3,3,3,1,34,3.0
214,1,3.0,4,5,5,3,4,4,4,3,3,3,4,4,4,3,4,3,3,4,4,4,4,4,1,30,3.0
218,1,6.0,3,5,4,5,3,4,5,3,4,3,5,5,4,5,4,4,2,3,4,4,4,5,0,32,4.0
220,1,1.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,32,4.0
222,1,5.0,4,5,4,4,4,4,3,3,2,5,3,4,5,1,5,3,1,1,4,4,3,3,0,43,7.0
224,2,2.0,4,5,5,5,4,4,4,5,2,5,4,1,5,1,5,4,1,4,3,5,4,4,1,30,1.0
226,1,2.0,3,5,4,5,5,3,5,4,4,5,5,2,5,1,3,3,1,1,5,4,3,3,1,29,1.0
228,1,5.0,4,4,5,4,4,4,4,3,3,5,5,3,5,3,4,2,2,4,5,4,5,4,1,28,2.0
230,1,2.0,3,4,3,4,4,3,3,4,4,3,5,3,4,1,1,4,1,5,4,4,4,2,0,39,6.0
232,1,3.0,2,2,2,2,2,2,2,2,2,2,2,2,4,1,3,4,1,3,3,4,4,3,1,29,1.0
234,1,6.0,4,5,3,5,4,4,4,2,2,4,4,1,5,3,4,2,3,3,4,4,4,4,0,29,2.0
236,1,6.0,5,5,5,5,4,4,5,3,4,5,5,3,5,1,3,5,1,3,5,5,5,5,1,30,1.0
240,1,6.0,2,4,5,3,3,2,2,3,2,5,5,1,5,2,3,2,3,2,4,4,5,5,0,30,1.0
242,1,5.0,3,5,3,4,5,3,3,3,3,4,4,2,4,2,2,3,2,2,4,3,3,4,1,30,1.0
244,1,3.0,4,5,5,5,5,4,5,4,1,5,4,3,5,3,3,3,3,4,4,5,4,5,1,31,1.0
246,1,3.0,3,5,5,5,4,3,3,4,4,4,4,4,5,1,4,4,3,3,3,5,4,3,0,36,4.0
248,1,3.0,5,5,4,5,5,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,0,30,2.0
252,1,5.0,4,5,4,3,4,4,5,4,2,3,5,1,5,2,3,3,4,1,4,4,4,5,1,30,2.0
